#    E(eV)        YZX            YZY            YZZ            ZXX            ZXY            ZXZ            XYX            XYY            XYZ
   0.00000          0.00000000         -0.00000000         -0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         -0.00000000          0.00000000
   0.01000         -0.00009477         -0.00000000         -0.00000000          0.00000000         -0.00009477          0.00000000          0.00000000          0.00000000          0.00049932
   0.02000         -0.00037908         -0.00000000         -0.00000000         -0.00000000         -0.00037908          0.00000000         -0.00000000         -0.00000000          0.00199729
   0.03000         -0.00085295         -0.00000000         -0.00000000          0.00000000         -0.00085295         -0.00000000         -0.00000000         -0.00000000          0.00449392
   0.04000         -0.00151637         -0.00000000          0.00000000          0.00000000         -0.00151637          0.00000000         -0.00000000          0.00000000          0.00798926
   0.05000         -0.00236937          0.00000000         -0.00000000          0.00000000         -0.00236936          0.00000000          0.00000000         -0.00000000          0.01248334
   0.06000         -0.00341195         -0.00000000         -0.00000000         -0.00000000         -0.00341195          0.00000000         -0.00000000         -0.00000000          0.01797615
   0.07000         -0.00464413         -0.00000000          0.00000000         -0.00000000         -0.00464413          0.00000000          0.00000000         -0.00000000          0.02446793
   0.08000         -0.00606597         -0.00000000         -0.00000000         -0.00000000         -0.00606598         -0.00000000         -0.00000000          0.00000000          0.03195851
   0.09000         -0.00767743         -0.00000000         -0.00000000          0.00000000         -0.00767744          0.00000000         -0.00000000         -0.00000000          0.04044828
   0.10000         -0.00947864         -0.00000000          0.00000000         -0.00000000         -0.00947864         -0.00000000         -0.00000000         -0.00000000          0.04993692
   0.11000         -0.01146954         -0.00000000         -0.00000000         -0.00000000         -0.01146955         -0.00000000         -0.00000000          0.00000000          0.06042497
   0.12000         -0.01365025         -0.00000000         -0.00000000         -0.00000000         -0.01365026          0.00000000         -0.00000000          0.00000000          0.07191221
   0.13000         -0.01602086         -0.00000000         -0.00000000          0.00000000         -0.01602088          0.00000000         -0.00000000          0.00000000          0.08439916
   0.14000         -0.01858121         -0.00000000          0.00000000         -0.00000000         -0.01858117         -0.00000000         -0.00000000          0.00000000          0.09788540
   0.15000         -0.02133137         -0.00000000          0.00000000         -0.00000000         -0.02133141         -0.00000000         -0.00000000          0.00000000          0.11237159
   0.16000         -0.02427177         -0.00000000         -0.00000000          0.00000000         -0.02427179          0.00000000         -0.00000000         -0.00000000          0.12785757
   0.17000         -0.02740204         -0.00000000          0.00000000          0.00000000         -0.02740204          0.00000000         -0.00000000          0.00000000          0.14434397
   0.18000         -0.03072235         -0.00000000          0.00000000         -0.00000000         -0.03072238          0.00000000          0.00000000         -0.00000000          0.16183072
   0.19000         -0.03423306         -0.00000000          0.00000000          0.00000000         -0.03423306          0.00000000         -0.00000000          0.00000000          0.18031764
   0.20000         -0.03793371         -0.00000000         -0.00000000         -0.00000000         -0.03793377          0.00000000         -0.00000000          0.00000000          0.19980574
   0.21000         -0.04182509         -0.00000000         -0.00000000          0.00000000         -0.04182503         -0.00000000         -0.00000000          0.00000000          0.22029448
   0.22000         -0.04590639         -0.00000000         -0.00000000          0.00000000         -0.04590645          0.00000000         -0.00000000         -0.00000000          0.24178398
   0.23000         -0.05017841         -0.00000000         -0.00000000         -0.00000000         -0.05017835          0.00000000         -0.00000000          0.00000000          0.26427591
   0.24000         -0.05464116         -0.00000000         -0.00000000          0.00000000         -0.05464128          0.00000000         -0.00000000          0.00000000          0.28776962
   0.25000         -0.05929449         -0.00000000         -0.00000000         -0.00000000         -0.05929461          0.00000000          0.00000000          0.00000000          0.31226367
   0.26000         -0.06413853         -0.00000000          0.00000000         -0.00000000         -0.06413853          0.00000000         -0.00000000          0.00000000          0.33776176
   0.27000         -0.06917304         -0.00000000         -0.00000000          0.00000000         -0.06917304         -0.00000000         -0.00000000          0.00000000          0.36426067
   0.28000         -0.07439876          0.00000000          0.00000000         -0.00000000         -0.07439888          0.00000000          0.00000000          0.00000000          0.39176476
   0.29000         -0.07981527         -0.00000000         -0.00000000          0.00000000         -0.07981521         -0.00000000         -0.00000000         -0.00000000          0.42026937
   0.30000         -0.08542383         -0.00000000         -0.00000000          0.00000000         -0.08542377          0.00000000         -0.00000000         -0.00000000          0.44978023
   0.31000         -0.09122312         -0.00000000          0.00000000          0.00000000         -0.09122330          0.00000000         -0.00000000         -0.00000000          0.48029339
   0.32000         -0.09721386         -0.00000000          0.00000000         -0.00000001         -0.09721369         -0.00000000          0.00000000         -0.00000000          0.51181161
   0.33000         -0.10339630         -0.00000000          0.00000000         -0.00000000         -0.10339653          0.00000000         -0.00000000         -0.00000000          0.54433262
   0.34000         -0.10977012         -0.00000000         -0.00000000          0.00000000         -0.10977048          0.00000000          0.00000000         -0.00000000          0.57785976
   0.35000         -0.11633587         -0.00000000         -0.00000000         -0.00000001         -0.11633599         -0.00000000         -0.00000000          0.00000000          0.61239314
   0.36000         -0.12309301         -0.00000000         -0.00000000          0.00000000         -0.12309313          0.00000000         -0.00000000          0.00000000          0.64793134
   0.37000         -0.13004303         -0.00000000          0.00000000         -0.00000000         -0.13004303          0.00000000         -0.00000000          0.00000000          0.68447256
   0.38000         -0.13718498         -0.00000000         -0.00000000          0.00000000         -0.13718498         -0.00000000          0.00000000         -0.00000000          0.72202659
   0.39000         -0.14451897         -0.00000000          0.00000000         -0.00000001         -0.14451909         -0.00000000          0.00000000         -0.00000000          0.76058340
   0.40000         -0.15204561         -0.00000000         -0.00000000          0.00000002         -0.15204549          0.00000000         -0.00000000         -0.00000000          0.80014968
   0.41000         -0.15976536         -0.00000000         -0.00000000          0.00000001         -0.15976536          0.00000000         -0.00000000         -0.00000000          0.84072328
   0.42000         -0.16767716         -0.00000000          0.00000000          0.00000000         -0.16767716         -0.00000000         -0.00000000         -0.00000000          0.88230467
   0.43000         -0.17578161         -0.00000000          0.00000000          0.00000001         -0.17578185         -0.00000000         -0.00000000          0.00000000          0.92488933
   0.44000         -0.18407989         -0.00000000         -0.00000000         -0.00000000         -0.18407977          0.00000000         -0.00000000          0.00000000          0.96849632
   0.45000         -0.19257104         -0.00000000         -0.00000000          0.00000001         -0.19257081         -0.00000000         -0.00000000          0.00000000          1.01310468
   0.46000         -0.20125628         -0.00000000          0.00000000          0.00000001         -0.20125616          0.00000000          0.00000000          0.00000000          1.05872488
   0.47000         -0.21013629         -0.00000000          0.00000000          0.00000000         -0.21013618         -0.00000000         -0.00000000         -0.00000000          1.10535765
   0.48000         -0.21920884         -0.00000000          0.00000000          0.00000000         -0.21920860         -0.00000000         -0.00000000          0.00000000          1.15300059
   0.49000         -0.22847390         -0.00000000          0.00000000         -0.00000000         -0.22847390         -0.00000000         -0.00000000          0.00000000          1.20165277
   0.50000         -0.23793519         -0.00000000         -0.00000000         -0.00000000         -0.23793530          0.00000000         -0.00000000         -0.00000000          1.25132751
   0.51000         -0.24759102         -0.00000000         -0.00000000         -0.00000003         -0.24759102          0.00000000         -0.00000000         -0.00000000          1.30200481
   0.52000         -0.25744081         -0.00000000          0.00000000         -0.00000001         -0.25744128         -0.00000000          0.00000000         -0.00000000          1.35369968
   0.53000         -0.26748466         -0.00000000         -0.00000000         -0.00000000         -0.26748466         -0.00000000         -0.00000000          0.00000000          1.40640593
   0.54000         -0.27772498         -0.00000000         -0.00000000         -0.00000000         -0.27772474          0.00000000         -0.00000000          0.00000000          1.46012735
   0.55000         -0.28816056         -0.00000000          0.00000000          0.00000001         -0.28816056          0.00000000          0.00000000          0.00000000          1.51486635
   0.56000         -0.29878998          0.00000001          0.00000000         -0.00000000         -0.29879045          0.00000000          0.00000000          0.00000000          1.57062674
   0.57000         -0.30961442         -0.00000000          0.00000000          0.00000002         -0.30961466          0.00000000         -0.00000000          0.00000000          1.62739515
   0.58000         -0.32063842         -0.00000002          0.00000000          0.00000002         -0.32063842         -0.00000000          0.00000000          0.00000000          1.68519020
   0.59000         -0.33185601         -0.00000000          0.00000000         -0.00000002         -0.33185601         -0.00000000          0.00000000         -0.00000000          1.74399424
   0.60000         -0.34326911         -0.00000000         -0.00000000         -0.00000000         -0.34326959          0.00000000          0.00000000          0.00000000          1.80382156
   0.61000         -0.35488200         -0.00000000         -0.00000000          0.00000001         -0.35488176         -0.00000000         -0.00000000         -0.00000000          1.86467075
   0.62000         -0.36668754         -0.00000000          0.00000000          0.00000002         -0.36668777          0.00000000         -0.00000000          0.00000000          1.92654562
   0.63000         -0.37869215         -0.00000000         -0.00000000          0.00000000         -0.37869239          0.00000000          0.00000000          0.00000000          1.98942471
   0.64000         -0.39089179         -0.00000000          0.00000000          0.00000001         -0.39089251         -0.00000000         -0.00000000          0.00000000          2.05333710
   0.65000         -0.40329480         -0.00000000         -0.00000000         -0.00000002         -0.40329528          0.00000000          0.00000000         -0.00000000          2.11826706
   0.66000         -0.41588998         -0.00000000         -0.00000000         -0.00000001         -0.41588998          0.00000000          0.00000000         -0.00000000          2.18422604
   0.67000         -0.42868805         -0.00000000         -0.00000000          0.00000000         -0.42868805          0.00000000         -0.00000000          0.00000000          2.25119638
   0.68000         -0.44167805         -0.00000000         -0.00000000          0.00000000         -0.44167805          0.00000000         -0.00000000         -0.00000000          2.31920433
   0.69000         -0.45487380         -0.00000000         -0.00000000         -0.00000001         -0.45487309         -0.00000000          0.00000000         -0.00000000          2.38823938
   0.70000         -0.46826410         -0.00000000          0.00000000         -0.00000002         -0.46826363          0.00000000         -0.00000000          0.00000000          2.45830536
   0.71000         -0.48185277         -0.00000000         -0.00000000          0.00000003         -0.48185325         -0.00000000          0.00000000          0.00000000          2.52938461
   0.72000         -0.49564314         -0.00000000         -0.00000000          0.00000003         -0.49564266          0.00000000         -0.00000000          0.00000000          2.60149670
   0.73000         -0.50963163         -0.00000000         -0.00000000         -0.00000003         -0.50963116         -0.00000000         -0.00000000          0.00000000          2.67464066
   0.74000         -0.52382374         -0.00000000         -0.00000000         -0.00000001         -0.52382326         -0.00000000         -0.00000000          0.00000000          2.74881458
   0.75000         -0.53821230         -0.00000000         -0.00000000          0.00000004         -0.53821230          0.00000000          0.00000000          0.00000000          2.82401276
   0.76000         -0.55280209         -0.00000000         -0.00000000          0.00000003         -0.55280209          0.00000000         -0.00000000         -0.00000000          2.90024376
   0.77000         -0.56759405         -0.00000000         -0.00000000          0.00000006         -0.56759405         -0.00000000         -0.00000000          0.00000000          2.97751045
