#    E(eV)        YZX            YZY            YZZ            ZXX            ZXY            ZXZ            XYX            XYY            XYZ
   0.00000          0.00000000         -0.00000000         -0.00000000          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000
   0.01000         -0.00000794         -0.00000000          0.00000000         -0.00000000         -0.00000794          0.00000000          0.00000000         -0.00000000          0.00033587
   0.02000         -0.00003178         -0.00000000         -0.00000000         -0.00000000         -0.00003178          0.00000000          0.00000000          0.00000000          0.00134350
   0.03000         -0.00007149          0.00000000         -0.00000000         -0.00000000         -0.00007149         -0.00000000         -0.00000000          0.00000000          0.00302288
   0.04000         -0.00012710         -0.00000000         -0.00000000          0.00000000         -0.00012710          0.00000000         -0.00000000          0.00000000          0.00537404
   0.05000         -0.00019859         -0.00000000         -0.00000000         -0.00000000         -0.00019859         -0.00000000         -0.00000000          0.00000000          0.00839696
   0.06000         -0.00028600         -0.00000000         -0.00000000          0.00000000         -0.00028600         -0.00000000         -0.00000000         -0.00000000          0.01209172
   0.07000         -0.00038928         -0.00000000         -0.00000000         -0.00000000         -0.00038928          0.00000000          0.00000000         -0.00000000          0.01645826
   0.08000         -0.00050843         -0.00000000         -0.00000000         -0.00000000         -0.00050843         -0.00000000         -0.00000000         -0.00000000          0.02149673
   0.09000         -0.00064352         -0.00000000          0.00000000          0.00000000         -0.00064352          0.00000000         -0.00000000          0.00000000          0.02720698
   0.10000         -0.00079451         -0.00000000          0.00000000         -0.00000000         -0.00079451         -0.00000000          0.00000000         -0.00000000          0.03358916
   0.11000         -0.00096143         -0.00000000          0.00000000         -0.00000000         -0.00096143         -0.00000000         -0.00000000         -0.00000000          0.04064341
   0.12000         -0.00114409          0.00000000         -0.00000000         -0.00000000         -0.00114408         -0.00000000         -0.00000000         -0.00000000          0.04836966
   0.13000         -0.00134285         -0.00000000         -0.00000000          0.00000000         -0.00134285         -0.00000000         -0.00000000         -0.00000000          0.05676813
   0.14000         -0.00155742         -0.00000000          0.00000000          0.00000000         -0.00155742          0.00000000         -0.00000000          0.00000000          0.06583844
   0.15000         -0.00178806         -0.00000000         -0.00000000         -0.00000000         -0.00178806          0.00000000          0.00000000          0.00000000          0.07558122
   0.16000         -0.00203456         -0.00000000          0.00000000          0.00000000         -0.00203455         -0.00000000         -0.00000000          0.00000000          0.08599619
   0.17000         -0.00229698         -0.00000000         -0.00000000         -0.00000000         -0.00229698         -0.00000000         -0.00000000          0.00000000          0.09708350
   0.18000         -0.00257540         -0.00000000         -0.00000000          0.00000000         -0.00257540         -0.00000000         -0.00000000         -0.00000000          0.10884241
   0.19000         -0.00286978         -0.00000000         -0.00000000         -0.00000000         -0.00286977          0.00000000         -0.00000000         -0.00000000          0.12127500
   0.20000         -0.00317995         -0.00000000         -0.00000000         -0.00000000         -0.00317995         -0.00000000         -0.00000000         -0.00000000          0.13437998
   0.21000         -0.00350657         -0.00000000          0.00000000         -0.00000000         -0.00350657         -0.00000000         -0.00000000         -0.00000000          0.14815751
   0.22000         -0.00384851         -0.00000000          0.00000000         -0.00000000         -0.00384854          0.00000000         -0.00000000         -0.00000000          0.16260754
   0.23000         -0.00420693         -0.00000000         -0.00000000          0.00000000         -0.00420693          0.00000000         -0.00000000         -0.00000000          0.17773031
   0.24000         -0.00458112         -0.00000000         -0.00000000          0.00000000         -0.00458109         -0.00000000         -0.00000000         -0.00000000          0.19352613
   0.25000         -0.00497127         -0.00000000         -0.00000000          0.00000000         -0.00497127         -0.00000000          0.00000000          0.00000000          0.20999551
   0.26000         -0.00537762         -0.00000000         -0.00000000         -0.00000000         -0.00537762         -0.00000000         -0.00000000         -0.00000000          0.22713856
   0.27000         -0.00580020         -0.00000000         -0.00000000         -0.00000000         -0.00580017          0.00000000         -0.00000000         -0.00000000          0.24495381
