#    E(eV)        YZX            YZY            YZZ            ZXX            ZXY            ZXZ            XYX            XYY            XYZ
   0.00000          0.00000000         -0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         -0.00000000         -0.00000000          0.00000000
   0.01000         -0.00000998         -0.00000000         -0.00000000          0.00000000         -0.00000998          0.00000000          0.00000000         -0.00000000          0.00058200
   0.02000         -0.00003991         -0.00000000          0.00000000         -0.00000000         -0.00003991         -0.00000000         -0.00000000          0.00000000          0.00232800
   0.03000         -0.00008981         -0.00000000         -0.00000000          0.00000000         -0.00008981          0.00000000         -0.00000000         -0.00000000          0.00523799
   0.04000         -0.00015966         -0.00000000          0.00000000         -0.00000000         -0.00015966         -0.00000000         -0.00000000          0.00000000          0.00931205
   0.05000         -0.00024946         -0.00000000         -0.00000000         -0.00000000         -0.00024946          0.00000000         -0.00000000          0.00000000          0.01455017
   0.06000         -0.00035924         -0.00000000         -0.00000000          0.00000000         -0.00035925         -0.00000000         -0.00000000          0.00000000          0.02095236
   0.07000         -0.00048899         -0.00000000          0.00000000         -0.00000000         -0.00048899         -0.00000000          0.00000000         -0.00000000          0.02851874
   0.08000         -0.00063872         -0.00000000          0.00000000          0.00000000         -0.00063872         -0.00000000         -0.00000000          0.00000000          0.03724921
   0.09000         -0.00080840         -0.00000000          0.00000000         -0.00000000         -0.00080840         -0.00000000         -0.00000000          0.00000000          0.04714384
   0.10000         -0.00099806         -0.00000000         -0.00000000         -0.00000000         -0.00099806          0.00000000          0.00000000         -0.00000000          0.05820305
   0.11000         -0.00120760         -0.00000000         -0.00000000         -0.00000000         -0.00120760         -0.00000000         -0.00000000          0.00000000          0.07042678
   0.12000         -0.00143719         -0.00000000          0.00000000         -0.00000000         -0.00143719         -0.00000000         -0.00000000          0.00000000          0.08381486
   0.13000         -0.00168676         -0.00000000          0.00000000          0.00000000         -0.00168675          0.00000000          0.00000000          0.00000000          0.09836732
   0.14000         -0.00195650         -0.00000000         -0.00000000         -0.00000000         -0.00195649         -0.00000000         -0.00000000         -0.00000000          0.11408414
   0.15000         -0.00224608         -0.00000000          0.00000000          0.00000000         -0.00224607         -0.00000000         -0.00000000         -0.00000000          0.13096586
   0.16000         -0.00255592         -0.00000000         -0.00000000         -0.00000000         -0.00255591          0.00000000          0.00000000         -0.00000000          0.14901312
   0.17000         -0.00288539         -0.00000000          0.00000000         -0.00000000         -0.00288536         -0.00000000         -0.00000000         -0.00000000          0.16822420
   0.18000         -0.00323547         -0.00000000          0.00000000         -0.00000000         -0.00323549          0.00000000         -0.00000000         -0.00000000          0.18860112
   0.19000         -0.00360493         -0.00000000         -0.00000000          0.00000000         -0.00360498         -0.00000000         -0.00000000         -0.00000000          0.21014333
   0.20000         -0.00399458         -0.00000000         -0.00000000          0.00000000         -0.00399460          0.00000000          0.00000000         -0.00000000          0.23285125
   0.21000         -0.00440449         -0.00000000         -0.00000000          0.00000000         -0.00440446         -0.00000000         -0.00000000         -0.00000000          0.25672317
   0.22000         -0.00483426         -0.00000000         -0.00000000          0.00000000         -0.00483426         -0.00000000          0.00000000         -0.00000000          0.28176159
   0.23000         -0.00528470         -0.00000000          0.00000000         -0.00000000         -0.00528467          0.00000000         -0.00000000          0.00000000          0.30796811
   0.24000         -0.00575432         -0.00000000         -0.00000000          0.00000000         -0.00575432         -0.00000000         -0.00000000          0.00000000          0.33533695
   0.25000         -0.00624511         -0.00000000         -0.00000000          0.00000000         -0.00624517          0.00000000         -0.00000000         -0.00000000          0.36387581
   0.26000         -0.00675577         -0.00000000         -0.00000000         -0.00000000         -0.00675577         -0.00000000         -0.00000000         -0.00000000          0.39358035
   0.27000         -0.00728607         -0.00000000         -0.00000000          0.00000001         -0.00728616         -0.00000000         -0.00000000          0.00000000          0.42445076
   0.28000         -0.00783727         -0.00000000         -0.00000000          0.00000000         -0.00783730          0.00000000          0.00000000          0.00000000          0.45648646
   0.29000         -0.00840750         -0.00000000          0.00000000          0.00000000         -0.00840756         -0.00000000         -0.00000000          0.00000000          0.48969105
   0.30000         -0.00899848         -0.00000000          0.00000000          0.00000000         -0.00899860          0.00000000         -0.00000000         -0.00000000          0.52406132
   0.31000         -0.00960994         -0.00000000         -0.00000000          0.00000000         -0.00960994          0.00000000          0.00000000          0.00000000          0.55960053
   0.32000         -0.01024145         -0.00000000          0.00000000          0.00000000         -0.01024139          0.00000000         -0.00000000          0.00000000          0.59630561
   0.33000         -0.01089180         -0.00000000          0.00000000          0.00000000         -0.01089191         -0.00000000         -0.00000000         -0.00000000          0.63418144
   0.34000         -0.01156378         -0.00000000          0.00000000         -0.00000000         -0.01156372          0.00000000         -0.00000000          0.00000000          0.67322439
   0.35000         -0.01225609         -0.00000000          0.00000000          0.00000000         -0.01225609          0.00000000          0.00000000          0.00000000          0.71343678
   0.36000         -0.01296848         -0.00000000          0.00000000          0.00000000         -0.01296860          0.00000000         -0.00000000         -0.00000000          0.75481707
   0.37000         -0.01370209         -0.00000000          0.00000000         -0.00000000         -0.01370209          0.00000000         -0.00000000          0.00000000          0.79736286
   0.38000         -0.01445431         -0.00000000          0.00000000          0.00000000         -0.01445442          0.00000000         -0.00000000         -0.00000000          0.84108412
   0.39000         -0.01523060         -0.00000000          0.00000000         -0.00000001         -0.01523060         -0.00000000          0.00000000          0.00000000          0.88597286
   0.40000         -0.01602286         -0.00000000          0.00000000          0.00000000         -0.01602286         -0.00000000         -0.00000000         -0.00000000          0.93202722
   0.41000         -0.01683742         -0.00000000         -0.00000000         -0.00000001         -0.01683766         -0.00000000         -0.00000000          0.00000000          0.97925973
   0.42000         -0.01767164         -0.00000000         -0.00000000          0.00000000         -0.01767147         -0.00000000         -0.00000000          0.00000000          1.02765656
   0.43000         -0.01852548         -0.00000000          0.00000000          0.00000000         -0.01852536          0.00000000         -0.00000000         -0.00000000          1.07722783
   0.44000         -0.01940131         -0.00000000         -0.00000000         -0.00000000         -0.01940119          0.00000000         -0.00000000         -0.00000000          1.12796438
   0.45000         -0.02029788         -0.00000000         -0.00000000         -0.00000000         -0.02029788          0.00000000         -0.00000000          0.00000000          1.17988408
   0.46000         -0.02121401         -0.00000000          0.00000000         -0.00000000         -0.02121377          0.00000000         -0.00000000          0.00000000          1.23296309
   0.47000         -0.02215004         -0.00000000          0.00000000         -0.00000000         -0.02215016          0.00000000          0.00000000         -0.00000000          1.28721774
   0.48000         -0.02310967         -0.00000000         -0.00000000          0.00000000         -0.02310944         -0.00000000          0.00000000         -0.00000000          1.34265220
   0.49000         -0.02408838         -0.00000000         -0.00000000         -0.00000000         -0.02408791         -0.00000000          0.00000000         -0.00000000          1.39925361
   0.50000         -0.02508700         -0.00000000          0.00000000         -0.00000001         -0.02508664          0.00000000          0.00000000         -0.00000000          1.45702851
   0.51000         -0.02610612         -0.00000000          0.00000000          0.00000001         -0.02610636         -0.00000000         -0.00000000          0.00000000          1.51598299
   0.52000         -0.02714860         -0.00000000         -0.00000000         -0.00000000         -0.02714872          0.00000000         -0.00000000         -0.00000000          1.57610679
   0.53000         -0.02820456         -0.00000000          0.00000000         -0.00000000         -0.02820432          0.00000000          0.00000000         -0.00000000          1.63739705
   0.54000         -0.02928948         -0.00000000         -0.00000000          0.00000000         -0.02928960         -0.00000000         -0.00000000          0.00000000          1.69986928
   0.55000         -0.03039229         -0.00000000         -0.00000000          0.00000000         -0.03039205         -0.00000000          0.00000000         -0.00000000          1.76352298
   0.56000         -0.03151321         -0.00000000          0.00000000         -0.00000000         -0.03151357         -0.00000000         -0.00000000         -0.00000000          1.82835126
   0.57000         -0.03265858         -0.00000000          0.00000000          0.00000001         -0.03265846         -0.00000000         -0.00000000         -0.00000000          1.89434350
   0.58000         -0.03382182         -0.00000000         -0.00000000          0.00000001         -0.03382182          0.00000000         -0.00000000          0.00000000          1.96152496
   0.59000         -0.03500748         -0.00000000          0.00000000          0.00000000         -0.03500772         -0.00000000         -0.00000000         -0.00000000          2.02988696
   0.60000         -0.03621376         -0.00000000          0.00000000         -0.00000000         -0.03621340          0.00000000         -0.00000000         -0.00000000          2.09941888
   0.61000         -0.03744292          0.00000000         -0.00000000         -0.00000001         -0.03744292          0.00000000          0.00000000         -0.00000000          2.17012072
   0.62000         -0.03868675         -0.00000000          0.00000000         -0.00000002         -0.03868723         -0.00000000         -0.00000000         -0.00000000          2.24200916
   0.63000         -0.03995585         -0.00000000         -0.00000000          0.00000001         -0.03995562         -0.00000000         -0.00000000          0.00000000          2.31508327
   0.64000         -0.04124832         -0.00000000          0.00000000         -0.00000001         -0.04124808         -0.00000000          0.00000000          0.00000000          2.38932776
   0.65000         -0.04255939         -0.00000000          0.00000000         -0.00000000         -0.04255939         -0.00000000         -0.00000000         -0.00000000          2.46475935
   0.66000         -0.04388905         -0.00000000         -0.00000000          0.00000004         -0.04388928          0.00000000          0.00000000          0.00000000          2.54135776
   0.67000         -0.04524875         -0.00000000          0.00000000         -0.00000000         -0.04524851          0.00000000          0.00000000         -0.00000000          2.61915588
   0.68000         -0.04662347         -0.00000000          0.00000000          0.00000001         -0.04662323          0.00000000          0.00000000          0.00000000          2.69813275
   0.69000         -0.04801273         -0.00000000          0.00000000          0.00000002         -0.04801250         -0.00000000          0.00000000         -0.00000000          2.77828026
   0.70000         -0.04942632         -0.00000000         -0.00000000          0.00000000         -0.04942703         -0.00000000         -0.00000000          0.00000000          2.85961604
   0.71000         -0.05087137         -0.00000000         -0.00000000         -0.00000003         -0.05087161          0.00000000         -0.00000000         -0.00000000          2.94213581
   0.72000         -0.05233574         -0.00000000         -0.00000000          0.00000002         -0.05233526          0.00000000          0.00000000          0.00000000          3.02584147
   0.73000         -0.05381513         -0.00000000          0.00000000          0.00000000         -0.05381513         -0.00000000          0.00000000          0.00000000          3.11071444
   0.74000         -0.05531049         -0.00000000         -0.00000000         -0.00000001         -0.05531025          0.00000000         -0.00000000          0.00000000          3.19680572
   0.75000         -0.05683684         -0.00000000         -0.00000000         -0.00000003         -0.05683661         -0.00000000          0.00000000          0.00000000          3.28405523
   0.76000         -0.05838394         -0.00000000          0.00000000         -0.00000003         -0.05838418          0.00000000         -0.00000000         -0.00000000          3.37250233
   0.77000         -0.05995154         -0.00000000          0.00000000          0.00000003         -0.05995131          0.00000000          0.00000000         -0.00000000          3.46214485
   0.78000         -0.06154513         -0.00000000         -0.00000000         -0.00000003         -0.06154442         -0.00000000         -0.00000000          0.00000000          3.55295086
   0.79000         -0.06315017         -0.00000000          0.00000000          0.00000002         -0.06314993         -0.00000000         -0.00000000          0.00000000          3.64495611
   0.80000         -0.06478167         -0.00000000         -0.00000000          0.00000000         -0.06478238          0.00000000          0.00000000         -0.00000000          3.73814583
   0.81000         -0.06643295         -0.00000000         -0.00000000          0.00000000         -0.06643343          0.00000000          0.00000000         -0.00000000          3.83252525
   0.82000         -0.06810784         -0.00000000         -0.00000000         -0.00000002         -0.06810832         -0.00000000         -0.00000000         -0.00000000          3.92811608
   0.83000         -0.06980348         -0.00000000          0.00000000         -0.00000002         -0.06980300          0.00000000         -0.00000000         -0.00000000          4.02487755
   0.84000         -0.07152462         -0.00000000         -0.00000000          0.00000002         -0.07152414          0.00000000         -0.00000000         -0.00000000          4.12281895
   0.85000         -0.07327151         -0.00000000         -0.00000000         -0.00000000         -0.07327104          0.00000000          0.00000000         -0.00000000          4.22196484
   0.86000         -0.07502937         -0.00000000          0.00000000          0.00000000         -0.07502890          0.00000000         -0.00000000         -0.00000000          4.32231331
   0.87000         -0.07681990         -0.00000000          0.00000000         -0.00000001         -0.07682037         -0.00000000         -0.00000000         -0.00000000          4.42385483
   0.88000         -0.07862425         -0.00000000          0.00000000          0.00000000         -0.07862473          0.00000000          0.00000000          0.00000000          4.52656078
   0.89000         -0.08044386         -0.00000000         -0.00000000          0.00000002         -0.08044386          0.00000000          0.00000000         -0.00000000          4.63047266
   0.90000         -0.08230448         -0.00000000          0.00000000          0.00000001         -0.08230400          0.00000000          0.00000000         -0.00000000          4.73558521
   0.91000         -0.08418274         -0.00000000          0.00000000          0.00000000         -0.08418274         -0.00000000         -0.00000000         -0.00000000          4.84192467
   0.92000         -0.08607626         -0.00000000         -0.00000000          0.00000001         -0.08607626          0.00000000         -0.00000000         -0.00000000          4.94941282
   0.93000         -0.08799601         -0.00000000         -0.00000000          0.00000001         -0.08799553         -0.00000000         -0.00000000         -0.00000000          5.05813789
   0.94000         -0.08992529         -0.00000000          0.00000000         -0.00000000         -0.08992529         -0.00000000         -0.00000000          0.00000000          5.16803312
   0.95000         -0.09189796         -0.00000000          0.00000000          0.00000000         -0.09189749          0.00000000          0.00000000          0.00000000          5.27914953
   0.96000         -0.09387159         -0.00000000          0.00000000         -0.00000001         -0.09387207          0.00000000         -0.00000000          0.00000000          5.39142179
   0.97000         -0.09588051         -0.00000000          0.00000000         -0.00000001         -0.09588051         -0.00000000         -0.00000000         -0.00000000          5.50492620
   0.98000         -0.09790468         -0.00000000         -0.00000000         -0.00000004         -0.09790564         -0.00000000          0.00000000          0.00000000          5.61966085
   0.99000         -0.09995222         -0.00000000          0.00000000          0.00000002         -0.09995270         -0.00000000         -0.00000000          0.00000000          5.73554754
   1.00000         -0.10203791         -0.00000000          0.00000000          0.00000002         -0.10203743          0.00000000          0.00000000          0.00000000          5.85265589
   1.01000         -0.10413790         -0.00000000         -0.00000000          0.00000002         -0.10413790          0.00000000          0.00000000          0.00000000          5.97094154
   1.02000         -0.10625410         -0.00000000         -0.00000000         -0.00000001         -0.10625458         -0.00000000          0.00000000          0.00000000          6.09048557
   1.03000         -0.10839510         -0.00000000         -0.00000000         -0.00000000         -0.10839462         -0.00000000         -0.00000000          0.00000000          6.21122217
   1.04000         -0.11055613          0.00000000         -0.00000000         -0.00000001         -0.11055660          0.00000000         -0.00000000          0.00000000          6.33309698
   1.05000         -0.11276340         -0.00000000          0.00000000         -0.00000001         -0.11276245         -0.00000000          0.00000000         -0.00000000          6.45624399
   1.06000         -0.11496830         -0.00000000         -0.00000000          0.00000000         -0.11496925         -0.00000000          0.00000000         -0.00000000          6.58055401
   1.07000         -0.11720133         -0.00000000          0.00000000          0.00000001         -0.11720276         -0.00000000         -0.00000000          0.00000000          6.70612144
   1.08000         -0.11945724         -0.00000000         -0.00000000          0.00000003         -0.11945820          0.00000000         -0.00000000          0.00000000          6.83289528
   1.09000         -0.12173986         -0.00000000         -0.00000000          0.00000002         -0.12173986          0.00000000         -0.00000000          0.00000000          6.96085978
   1.10000         -0.12404299         -0.00000000          0.00000000          0.00000000         -0.12404299         -0.00000000         -0.00000000          0.00000000          7.09006548
   1.11000         -0.12637520         -0.00000000         -0.00000000          0.00000003         -0.12637520          0.00000000         -0.00000000          0.00000000          7.22044230
   1.12000         -0.12872314         -0.00000000          0.00000000          0.00000005         -0.12872362         -0.00000000          0.00000000         -0.00000000          7.35204458
   1.13000         -0.13110113         -0.00000000          0.00000000          0.00000005         -0.13110209          0.00000000         -0.00000000          0.00000000          7.48485231
   1.14000         -0.13348675         -0.00000000          0.00000000          0.00000002         -0.13348627         -0.00000000          0.00000000         -0.00000000          7.61889791
   1.15000         -0.13590336         -0.00000000          0.00000000          0.00000005         -0.13590193         -0.00000000         -0.00000000         -0.00000000          7.75411797
   1.16000         -0.13834572         -0.00000000         -0.00000000         -0.00000007         -0.13834620         -0.00000000         -0.00000000         -0.00000000          7.89060736
   1.17000         -0.14081621         -0.00000000          0.00000000          0.00000002         -0.14081573          0.00000000         -0.00000000         -0.00000000          8.02826214
   1.18000         -0.14331722         -0.00000000          0.00000000         -0.00000005         -0.14331484         -0.00000000         -0.00000000          0.00000000          8.16716003
   1.19000         -0.14584970         -0.00000000         -0.00000000         -0.00000006         -0.14585018         -0.00000000         -0.00000000          0.00000000          8.30728436
   1.20000         -0.14837933         -0.00000000          0.00000000          0.00000003         -0.14837837         -0.00000000          0.00000000          0.00000000          8.44863319
   1.21000         -0.15093231         -0.00000000          0.00000000         -0.00000006         -0.15093327         -0.00000000         -0.00000000          0.00000000          8.59117508
   1.22000         -0.15353680         -0.00000000         -0.00000000         -0.00000005         -0.15353584         -0.00000000         -0.00000000         -0.00000000          8.73496437
   1.23000         -0.15612411         -0.00000000         -0.00000000         -0.00000004         -0.15612221          0.00000000         -0.00000000          0.00000000          8.87994862
   1.24000         -0.15876770         -0.00000000         -0.00000000          0.00000003         -0.15876865         -0.00000000         -0.00000000         -0.00000000          9.02616882
   1.25000         -0.16142750         -0.00000000          0.00000000         -0.00000008         -0.16142750          0.00000000         -0.00000000         -0.00000000          9.17368603
   1.26000         -0.16413212         -0.00000000         -0.00000000          0.00000003         -0.16413021          0.00000000          0.00000000          0.00000000          9.32233620
   1.27000         -0.16683197         -0.00000000          0.00000000          0.00000001         -0.16683292          0.00000000          0.00000000         -0.00000000          9.47221088
   1.28000         -0.16954899         -0.00000000          0.00000000          0.00000006         -0.16954899         -0.00000000         -0.00000000         -0.00000000          9.62334919
   1.29000         -0.17231846         -0.00000000          0.00000000          0.00000002         -0.17231846         -0.00000000          0.00000000         -0.00000000          9.77571583
   1.30000         -0.17511177         -0.00000000          0.00000000         -0.00000002         -0.17511177         -0.00000000          0.00000000         -0.00000000          9.92930317
   1.31000         -0.17789173         -0.00000000          0.00000000         -0.00000005         -0.17789173         -0.00000000         -0.00000000         -0.00000000         10.08410072
   1.32000         -0.18072033         -0.00000000         -0.00000000         -0.00000015         -0.18072128          0.00000000         -0.00000000          0.00000000         10.24015903
   1.33000         -0.18357277         -0.00000000          0.00000000          0.00000005         -0.18357277          0.00000000         -0.00000000         -0.00000000         10.39749336
   1.34000         -0.18646431         -0.00000000         -0.00000000         -0.00000011         -0.18646336          0.00000000         -0.00000000          0.00000000         10.55597973
   1.35000         -0.18936539         -0.00000000          0.00000000          0.00000005         -0.18936634         -0.00000000          0.00000000         -0.00000000         10.71576405
