#    E(eV)        YZX            YZY            YZZ            ZXX            ZXY            ZXZ            XYX            XYY            XYZ
   0.00000          0.00000000         -0.00000000          0.00000000         -0.00000000          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000
   0.01000         -0.00000846         -0.00000000          0.00000000          0.00000000         -0.00000846         -0.00000000         -0.00000000         -0.00000000          0.00051167
   0.02000         -0.00003386         -0.00000000          0.00000000         -0.00000000         -0.00003386          0.00000000         -0.00000000          0.00000000          0.00204667
   0.03000         -0.00007618         -0.00000000         -0.00000000         -0.00000000         -0.00007618          0.00000000         -0.00000000         -0.00000000          0.00460500
   0.04000         -0.00013542         -0.00000000         -0.00000000          0.00000000         -0.00013542         -0.00000000         -0.00000000         -0.00000000          0.00818672
   0.05000         -0.00021162         -0.00000000          0.00000000         -0.00000000         -0.00021162          0.00000000         -0.00000000          0.00000000          0.01279182
   0.06000         -0.00030471         -0.00000000         -0.00000000         -0.00000000         -0.00030471          0.00000000         -0.00000000         -0.00000000          0.01842036
   0.07000         -0.00041480         -0.00000000         -0.00000000         -0.00000000         -0.00041480          0.00000000          0.00000000          0.00000000          0.02507240
   0.08000         -0.00054180         -0.00000000          0.00000000         -0.00000000         -0.00054180         -0.00000000         -0.00000000         -0.00000000          0.03274786
   0.09000         -0.00068572         -0.00000000          0.00000000         -0.00000000         -0.00068573          0.00000000         -0.00000000          0.00000000          0.04144687
   0.10000         -0.00084661         -0.00000000          0.00000000          0.00000000         -0.00084661          0.00000000         -0.00000000          0.00000000          0.05116957
   0.11000         -0.00102445         -0.00000000         -0.00000000         -0.00000000         -0.00102445         -0.00000000         -0.00000000         -0.00000000          0.06191606
   0.12000         -0.00121932         -0.00000000         -0.00000000         -0.00000000         -0.00121932          0.00000000         -0.00000000         -0.00000000          0.07368602
   0.13000         -0.00143088         -0.00000000          0.00000000         -0.00000000         -0.00143089          0.00000000         -0.00000000         -0.00000000          0.08647992
   0.14000         -0.00165972         -0.00000000          0.00000000          0.00000000         -0.00165973          0.00000000         -0.00000000         -0.00000000          0.10029739
   0.15000         -0.00190561         -0.00000000         -0.00000000         -0.00000000         -0.00190559          0.00000000         -0.00000000         -0.00000000          0.11513942
   0.16000         -0.00216813         -0.00000000         -0.00000000          0.00000000         -0.00216813          0.00000000          0.00000000          0.00000000          0.13100520
   0.17000         -0.00244783         -0.00000000         -0.00000000          0.00000000         -0.00244781          0.00000000         -0.00000000          0.00000000          0.14789541
   0.18000         -0.00274464         -0.00000000          0.00000000         -0.00000000         -0.00274464         -0.00000000         -0.00000000          0.00000000          0.16581050
   0.19000         -0.00305800         -0.00000000         -0.00000000          0.00000000         -0.00305800          0.00000000          0.00000000         -0.00000000          0.18474868
   0.20000         -0.00338896         -0.00000000          0.00000000         -0.00000000         -0.00338899          0.00000000         -0.00000000          0.00000000          0.20471233
   0.21000         -0.00373672         -0.00000000          0.00000000          0.00000000         -0.00373673          0.00000000         -0.00000000          0.00000000          0.22570029
   0.22000         -0.00410162         -0.00000000          0.00000000          0.00000000         -0.00410162          0.00000000         -0.00000000          0.00000000          0.24771366
   0.23000         -0.00448337         -0.00000000         -0.00000000         -0.00000000         -0.00448337          0.00000000         -0.00000000         -0.00000000          0.27075219
   0.24000         -0.00488228         -0.00000000          0.00000000          0.00000000         -0.00488228          0.00000000          0.00000000          0.00000000          0.29481521
   0.25000         -0.00529805         -0.00000000         -0.00000000         -0.00000001         -0.00529805         -0.00000000          0.00000000          0.00000000          0.31990448
   0.26000         -0.00573105         -0.00000000         -0.00000000         -0.00000000         -0.00573111          0.00000000         -0.00000000         -0.00000000          0.34601843
   0.27000         -0.00618172         -0.00000000          0.00000000          0.00000000         -0.00618175          0.00000000          0.00000000         -0.00000000          0.37315765
   0.28000         -0.00664854         -0.00000000          0.00000000         -0.00000000         -0.00664857         -0.00000000         -0.00000000          0.00000000          0.40132186
