#    E(eV)        YZX            YZY            YZZ            ZXX            ZXY            ZXZ            XYX            XYY            XYZ
   0.00000          0.00000000         -0.00000000          0.00000000         -0.00000000          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000
   0.00600          0.00000940         -0.00000000          0.00000000          0.00000000          0.00000940         -0.00000000          0.00000000         -0.00000000         -0.00002128
   0.01200          0.00003758          0.00000000          0.00000000          0.00000000          0.00003758         -0.00000000         -0.00000000         -0.00000000         -0.00008510
   0.01800          0.00008456          0.00000000          0.00000000         -0.00000000          0.00008456          0.00000000          0.00000000          0.00000000         -0.00019148
   0.02400          0.00015033         -0.00000000         -0.00000000         -0.00000000          0.00015033         -0.00000000          0.00000000          0.00000000         -0.00034042
   0.03000          0.00023489          0.00000000         -0.00000000         -0.00000000          0.00023489         -0.00000000         -0.00000000         -0.00000000         -0.00053190
   0.03600          0.00033824         -0.00000000          0.00000000         -0.00000000          0.00033824         -0.00000000          0.00000000         -0.00000000         -0.00076594
   0.04200          0.00046038         -0.00000000          0.00000000         -0.00000000          0.00046038         -0.00000000          0.00000000          0.00000000         -0.00104254
   0.04800          0.00060131          0.00000000          0.00000000          0.00000000          0.00060131         -0.00000000         -0.00000000          0.00000000         -0.00136169
   0.05400          0.00076104          0.00000000          0.00000000          0.00000000          0.00076104          0.00000000         -0.00000000         -0.00000000         -0.00172340
   0.06000          0.00093957         -0.00000000          0.00000000          0.00000000          0.00093957          0.00000000         -0.00000000         -0.00000000         -0.00212767
   0.06600          0.00113689          0.00000000          0.00000000         -0.00000000          0.00113689         -0.00000000          0.00000000         -0.00000000         -0.00257450
   0.07200          0.00135300          0.00000000         -0.00000000         -0.00000000          0.00135300          0.00000000          0.00000000          0.00000000         -0.00306387
   0.07800          0.00158790         -0.00000000          0.00000000          0.00000000          0.00158790         -0.00000000         -0.00000000          0.00000000         -0.00359584
   0.08400          0.00184162          0.00000000         -0.00000000         -0.00000000          0.00184162         -0.00000000          0.00000000          0.00000000         -0.00417034
   0.09000          0.00211413          0.00000000          0.00000000         -0.00000000          0.00211413          0.00000000          0.00000000         -0.00000000         -0.00478743
   0.09600          0.00240543          0.00000000          0.00000000          0.00000000          0.00240543         -0.00000000          0.00000000         -0.00000000         -0.00544713
   0.10200          0.00271552          0.00000000         -0.00000000         -0.00000000          0.00271552         -0.00000000          0.00000000          0.00000000         -0.00614934
   0.10800          0.00304445         -0.00000000          0.00000000         -0.00000000          0.00304444         -0.00000000          0.00000000         -0.00000000         -0.00689417
   0.11400          0.00339217          0.00000000          0.00000000          0.00000000          0.00339217         -0.00000000          0.00000000          0.00000000         -0.00768155
   0.12000          0.00375871         -0.00000000         -0.00000000         -0.00000000          0.00375871          0.00000000          0.00000000          0.00000000         -0.00851155
   0.12600          0.00414403          0.00000000         -0.00000000          0.00000000          0.00414403          0.00000000          0.00000000         -0.00000000         -0.00938413
   0.13200          0.00454816          0.00000000         -0.00000000         -0.00000000          0.00454817         -0.00000000          0.00000000         -0.00000000         -0.01029924
   0.13800          0.00497111         -0.00000000          0.00000000         -0.00000000          0.00497111         -0.00000000         -0.00000000         -0.00000000         -0.01125701
   0.14400          0.00541289         -0.00000000         -0.00000000          0.00000000          0.00541289          0.00000000         -0.00000000          0.00000000         -0.01225735
   0.15000          0.00587347         -0.00000000          0.00000000          0.00000000          0.00587347         -0.00000000          0.00000000          0.00000000         -0.01330031
   0.15600          0.00635285          0.00000000          0.00000000          0.00000000          0.00635286          0.00000000         -0.00000000          0.00000000         -0.01438585
   0.16200          0.00685107          0.00000000          0.00000000         -0.00000000          0.00685107          0.00000000         -0.00000000          0.00000000         -0.01551409
   0.16800          0.00736810         -0.00000000         -0.00000000         -0.00000000          0.00736811          0.00000000          0.00000000          0.00000000         -0.01668484
   0.17400          0.00790401          0.00000000          0.00000000         -0.00000000          0.00790401          0.00000000         -0.00000000         -0.00000000         -0.01789816
   0.18000          0.00845862         -0.00000000          0.00000000         -0.00000000          0.00845863          0.00000000          0.00000000         -0.00000000         -0.01915427
   0.18600          0.00903216         -0.00000000          0.00000000         -0.00000000          0.00903215          0.00000000          0.00000000          0.00000000         -0.02045294
   0.19200          0.00962456          0.00000000          0.00000000         -0.00000000          0.00962454          0.00000000         -0.00000000         -0.00000000         -0.02179417
